French,English
partie,part
histoire,history
seulement,only
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
savais,knew
attention,Warning
voici,here is
pourrais,could
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
dont,whose
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
espère,hope
eau,water
nouvelle,new
boulot,job
arrêter,Stop
terre,Earth
compte,account
donne,given
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
bureau,office
